club_id,club_name,competition_id,competition_name,country_name,season,season_label,previous_season_label,matches_played,wins,draws,losses,points_earned,points_per_match,win_percentage,goals_scored,goals_conceded,goal_difference,goal_difference_per_match,points_per_match_change,win_percentage_change,goal_difference_per_match_change,performance_direction
33,FC Schalke 04,L1,bundesliga,Germany,2022,2022-23,2020-21,34,7,10,17,31,0.91,20.59,35,71,-36,-1.059,,,,No consecutive comparison
35,FC St. Pauli,L1,bundesliga,Germany,2024,2024-25,,34,8,8,18,32,0.94,23.53,28,41,-13,-0.382,,,,No consecutive comparison
415,FC Toulouse,FR1,ligue-1,France,2022,2022-23,,38,13,9,16,48,1.26,34.21,51,57,-6,-0.158,,,,No consecutive comparison
415,FC Toulouse,FR1,ligue-1,France,2023,2023-24,2022-23,34,11,10,13,43,1.26,32.35,42,46,-4,-0.118,0,-1.86,0.04,No change
415,FC Toulouse,FR1,ligue-1,France,2024,2024-25,2023-24,34,11,9,14,42,1.24,32.35,44,43,1,0.029,-0.02,0,0.147,Decline
8970,Frosinone Calcio,IT1,serie-a,Italy,2023,2023-24,,38,8,11,19,35,0.92,21.05,44,69,-25,-0.658,,,,No consecutive comparison
931,Fulham FC,GB1,premier-league,England,2020,2020-21,,38,5,13,20,28,0.74,13.16,27,53,-26,-0.684,,,,No consecutive comparison
931,Fulham FC,GB1,premier-league,England,2022,2022-23,2020-21,38,15,7,16,52,1.37,39.47,55,53,2,0.053,,,,No consecutive comparison
931,Fulham FC,GB1,premier-league,England,2023,2023-24,2022-23,38,13,8,17,47,1.24,34.21,55,61,-6,-0.158,-0.13,-5.26,-0.211,Decline
931,Fulham FC,GB1,premier-league,England,2024,2024-25,2023-24,38,15,9,14,54,1.42,39.47,54,54,0,0,0.18,5.26,0.158,Improvement
252,Genoa CFC,IT1,serie-a,Italy,2020,2020-21,,38,10,12,16,42,1.11,26.32,47,58,-11,-0.289,,,,No consecutive comparison
252,Genoa CFC,IT1,serie-a,Italy,2021,2021-22,2020-21,38,4,16,18,28,0.74,10.53,27,60,-33,-0.868,-0.37,-15.79,-0.579,Decline
252,Genoa CFC,IT1,serie-a,Italy,2023,2023-24,2021-22,38,12,13,13,49,1.29,31.58,45,45,0,0,,,,No consecutive comparison
252,Genoa CFC,IT1,serie-a,Italy,2024,2024-25,2023-24,38,10,13,15,43,1.13,26.32,37,49,-12,-0.316,-0.16,-5.26,-0.316,Decline
3709,Getafe CF,ES1,laliga,Spain,2020,2020-21,,38,9,11,18,38,1,23.68,28,43,-15,-0.395,,,,No consecutive comparison
3709,Getafe CF,ES1,laliga,Spain,2021,2021-22,2020-21,38,8,15,15,39,1.03,21.05,33,41,-8,-0.211,0.03,-2.63,0.184,Improvement
3709,Getafe CF,ES1,laliga,Spain,2022,2022-23,2021-22,38,10,12,16,42,1.11,26.32,34,45,-11,-0.289,0.08,5.27,-0.078,Improvement
3709,Getafe CF,ES1,laliga,Spain,2023,2023-24,2022-23,38,10,13,15,43,1.13,26.32,42,54,-12,-0.316,0.02,0,-0.027,Improvement
3709,Getafe CF,ES1,laliga,Spain,2024,2024-25,2023-24,38,11,9,18,42,1.11,28.95,34,39,-5,-0.132,-0.02,2.63,0.184,Decline
12321,Girona FC,ES1,laliga,Spain,2022,2022-23,,38,13,10,15,49,1.29,34.21,58,55,3,0.079,,,,No consecutive comparison
12321,Girona FC,ES1,laliga,Spain,2023,2023-24,2022-23,38,25,6,7,81,2.13,65.79,85,46,39,1.026,0.84,31.58,0.947,Improvement
12321,Girona FC,ES1,laliga,Spain,2024,2024-25,2023-24,38,11,8,19,41,1.08,28.95,44,60,-16,-0.421,-1.05,-36.84,-1.447,Decline
16795,Granada CF,ES1,laliga,Spain,2020,2020-21,,38,13,7,18,46,1.21,34.21,47,65,-18,-0.474,,,,No consecutive comparison
16795,Granada CF,ES1,laliga,Spain,2021,2021-22,2020-21,38,8,14,16,38,1,21.05,44,61,-17,-0.447,-0.21,-13.16,0.027,Decline
16795,Granada CF,ES1,laliga,Spain,2023,2023-24,2021-22,38,4,9,25,21,0.55,10.53,38,79,-41,-1.079,,,,No consecutive comparison
276,Hellas Verona,IT1,serie-a,Italy,2020,2020-21,,38,11,12,15,45,1.18,28.95,46,48,-2,-0.053,,,,No consecutive comparison
276,Hellas Verona,IT1,serie-a,Italy,2021,2021-22,2020-21,38,14,11,13,53,1.39,36.84,65,59,6,0.158,0.21,7.89,0.211,Improvement
276,Hellas Verona,IT1,serie-a,Italy,2022,2022-23,2021-22,38,7,10,21,31,0.82,18.42,31,59,-28,-0.737,-0.57,-18.42,-0.895,Decline
