player_id,player_name,age,position,sub_position,club_name,competition_name,country_name,minutes_played,market_value_in_eur,value_percentile_within_position_age,current_performance_percentile,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,yoy_performance_percentile_change,yoy_market_value_change_eur,consistency_profile,lower_risk_position_rank,lower_risk_overall_rank
221316,Lucas Vázquez,33,Defender,Right-Back,Real Madrid,laliga,Spain,2193,3000000,45.16,95.93,5,93.62,11.2,73.81,8430,-4.07,-1000000,Stable,11,20
420064,Caio Henrique,27,Defender,Left-Back,AS Monaco,ligue-1,France,1932,15000000,38.89,93.52,4,93.57,5.12,86.36,9876,,,Very stable,12,21
371998,Vinicius Junior,24,Attack,Left Winger,Real Madrid,laliga,Spain,2258,,68.48,92.78,4,93.37,5.89,85.26,9666,-4.97,,Very stable,6,22
525299,Miguel Gutiérrez,23,Defender,Left-Back,Girona FC,laliga,Spain,2464,20000000,48.91,92.68,3,93.22,1.95,91.6,7898,-2.7,-5000000,Very stable,13,23
392966,Nadir Zortea,26,Defender,Right-Back,Cagliari Calcio,serie-a,Italy,2727,5000000,18.38,93.98,3,92.85,6.31,86.05,5536,-4.54,2000000,Very stable,14,24
339808,Theo Hernández,27,Defender,Left-Back,AC Milan,serie-a,Italy,2696,,74.36,89.47,5,92.73,5.47,84.8,13915,-5.34,,Very stable,15,25
240306,Bruno Fernandes,30,Midfield,Attacking Midfield,Manchester United,premier-league,England,3023,50000000,76.12,94.79,5,91.98,4.77,87.91,15690,4.69,-20000000,Very stable,4,26
406625,Lautaro Martínez,27,Attack,Centre-Forward,Inter Milan,serie-a,Italy,2580,95000000,66.06,78.38,5,91.84,8.13,78.38,12695,-20.15,-15000000,Stable,7,27
479999,Eberechi Eze,27,Midfield,Attacking Midfield,Crystal Palace,premier-league,England,2603,55000000,60.51,93.75,4,91.79,6.1,82.98,9877,-3.28,0,Very stable,5,28
607223,Rayan Cherki,21,Midfield,Attacking Midfield,Olympique Lyon,ligue-1,France,2048,45000000,49.48,100,3,91.42,7.96,84.27,5637,15.73,20000000,Very stable,6,29
126414,Hakan Çalhanoğlu,31,Midfield,Defensive Midfield,Inter Milan,serie-a,Italy,1963,30000000,68.66,93.64,5,89.99,8.79,76.15,12046,-0.17,-15000000,Stable,7,30
