player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
288225,Ludovic Blas,Midfield,Right Midfield,France,27,2023-24,2024-25,Stade Rennais FC,Stade Rennais FC,1564,2302,738,0.288,0.586,0.298,15000000,18000000,3000000,20,447
266359,Benjamin Bourigeaud,Midfield,Central Midfield,France,28,2020-21,2021-22,Stade Rennais FC,Stade Rennais FC,2558,3216,658,0.387,0.672,0.285,15000000,18000000,3000000,20,448
342405,Mattias Svanberg,Midfield,Central Midfield,Sweden,24,2021-22,2022-23,Bologna Football Club 1909,VfL Wolfsburg,2574,1834,-740,0.21,0.491,0.281,15000000,18000000,3000000,20,449
341264,Fran García,Defender,Left-Back,Spain,24,2022-23,2023-24,Rayo Vallecano,Real Madrid,3399,1395,-2004,0.132,0.387,0.255,12000000,15000000,3000000,25,450
215977,Adrien Thomasson,Midfield,Central Midfield,France,28,2020-21,2021-22,RC Strasbourg Alsace,RC Strasbourg Alsace,2639,2395,-244,0.205,0.451,0.246,6000000,9000000,3000000,50,451
234781,Maxwel Cornet,Attack,Left Winger,Cote d'Ivoire,25,2020-21,2021-22,Olympique Lyon,"Burnley FC, Olympique Lyon",2456,1841,-615,0.257,0.489,0.232,12000000,15000000,3000000,25,452
262939,Johan Mojica,Defender,Left-Back,Colombia,29,2020-21,2021-22,"Atalanta BC, Elche CF",Elche CF,1498,2858,1360,0,0.22,0.22,2000000,5000000,3000000,150,453
443331,Patrick Osterhage,Midfield,Defensive Midfield,Germany,24,2022-23,2023-24,VfL Bochum,VfL Bochum,1023,1863,840,0,0.193,0.193,4000000,7000000,3000000,75,454
242631,Alex Iwobi,Attack,Left Winger,Nigeria,29,2023-24,2024-25,"Everton FC, Fulham FC",Fulham FC,2346,2998,652,0.269,0.45,0.181,25000000,28000000,3000000,12,455
193116,John McGinn,Midfield,Central Midfield,Scotland,29,2022-23,2023-24,Aston Villa,Aston Villa,2698,3010,312,0.133,0.299,0.166,27000000,30000000,3000000,11.11,456
668547,Máximo Perrone,Midfield,Defensive Midfield,Argentina,22,2023-24,2024-25,UD Las Palmas,Como 1907,1627,1860,233,0,0.145,0.145,9000000,12000000,3000000,33.33,457
