player_id,player_name,position,sub_position,country_of_citizenship,club_id,club_name,competition_id,competition_name,country_name,season,season_label,age_at_season_end,appearances,minutes_played,goals,assists,goal_contributions,goals_per_90,assists_per_90,goal_contributions_per_90,club_matches,club_points_per_match,availability_percentage,productivity_percentile,availability_percentile,productivity_percentile_score,availability_percentile_score,productivity_availability_score,combined_position_league_season_rank,combined_league_season_rank,combined_overall_rank
309110,Brais Méndez,Midfield,Attacking Midfield,Spain,940,Celta de Vigo,ES1,laliga,Spain,2020,2020-21,24,34,2679,9,0,9,0.302,0,0.302,38,1.39,78.33,0.863636364,0.772727273,86.36,77.27,81.82,5,14,282
124555,Cristiano Biraghi,Defender,Left-Back,Italy,430,ACF Fiorentina,IT1,serie-a,Italy,2020,2020-21,28,35,2808,1,7,8,0.032,0.224,0.256,38,1.05,82.11,0.852941176,0.794117647,85.29,79.41,82.35,5,14,265
346483,Mason Mount,Midfield,Attacking Midfield,England,631,Chelsea FC,GB1,premier-league,England,2020,2020-21,22,36,2894,6,6,12,0.187,0.187,0.373,38,1.76,84.62,0.839285714,0.821428571,83.93,82.14,83.04,3,14,245
117674,Maximilian Arnold,Midfield,Central Midfield,Germany,82,VfL Wolfsburg,L1,bundesliga,Germany,2020,2020-21,27,30,2591,3,7,10,0.104,0.243,0.347,34,1.79,84.67,0.681818182,0.863636364,68.18,86.36,77.27,6,14,454
516716,Bremer,Defender,Centre-Back,Brazil,416,Torino FC,IT1,serie-a,Italy,2020,2020-21,24,33,2936,5,1,6,0.153,0.031,0.184,38,0.97,85.85,0.75,0.897058824,75,89.71,82.35,6,15,266
399776,Pau Torres,Defender,Centre-Back,Spain,1050,Villarreal CF,ES1,laliga,Spain,2020,2020-21,24,33,2970,2,2,4,0.061,0.061,0.121,38,1.53,86.84,0.732394366,0.887323944,73.24,88.73,80.99,5,15,306
57467,Romain Thomas,Defender,Centre-Back,France,1420,Angers SCO,FR1,ligue-1,France,2020,2020-21,33,34,3026,4,0,4,0.119,0,0.119,38,1.16,88.48,0.697368421,0.868421053,69.74,86.84,78.29,6,15,405
60632,Theodor Gebre Selassie,Defender,Right-Back,Czech Republic,86,SV Werder Bremen,L1,bundesliga,Germany,2020,2020-21,34,34,3034,3,2,5,0.089,0.059,0.148,34,0.91,99.15,0.607843137,0.921568627,60.78,92.16,76.47,4,15,480
283628,Tomáš Souček,Midfield,Defensive Midfield,Czech Republic,379,West Ham United,GB1,premier-league,England,2020,2020-21,26,38,3420,10,1,11,0.263,0.026,0.289,38,1.71,100,0.696428571,0.964285714,69.64,96.43,83.04,4,15,246
239802,Adam Marusic,Defender,Right-Back,Montenegro,398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2020,2020-21,28,36,2971,2,4,6,0.061,0.121,0.182,38,1.79,86.87,0.735294118,0.911764706,73.53,91.18,82.35,7,16,267
46580,Andrej Kramaric,Attack,Second Striker,Croatia,533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,2020,2020-21,30,28,2386,20,6,26,0.754,0.226,0.981,34,1.26,77.97,0.857142857,0.642857143,85.71,64.29,75,6,16,535
448628,Javi Galán,Defender,Left-Back,Spain,5358,SD Huesca,ES1,laliga,Spain,2020,2020-21,26,37,3068,1,2,3,0.029,0.059,0.088,38,0.89,89.71,0.647887324,0.943661972,64.79,94.37,79.58,6,16,356
258923,Marcus Rashford,Attack,Left Winger,England,985,Manchester United,GB1,premier-league,England,2020,2020-21,23,37,2924,11,11,22,0.339,0.339,0.677,38,1.95,85.5,0.76744186,0.860465116,76.74,86.05,81.4,6,16,298
146854,Wissam Ben Yedder,Attack,Centre-Forward,France,162,AS Monaco,FR1,ligue-1,France,2020,2020-21,30,37,2626,20,8,28,0.685,0.274,0.96,38,2.05,76.78,0.944444444,0.611111111,94.44,61.11,77.78,5,16,427
183647,Álvaro González,Defender,Centre-Back,Spain,244,Olympique Marseille,FR1,ligue-1,France,2020,2020-21,31,32,2834,2,3,5,0.064,0.095,0.159,38,1.58,82.87,0.815789474,0.736842105,81.58,73.68,77.63,7,17,439
290587,Ellyes Skhiri,Midfield,Defensive Midfield,Tunisia,3,1.FC Köln,L1,bundesliga,Germany,2020,2020-21,26,32,2791,5,3,8,0.161,0.097,0.258,34,0.97,91.21,0.545454545,0.954545455,54.55,95.45,75,7,17,559
411975,Jules Koundé,Defender,Right-Back,France,368,Sevilla FC,ES1,laliga,Spain,2020,2020-21,22,34,2975,2,1,3,0.061,0.03,0.091,38,2.03,86.99,0.661971831,0.901408451,66.2,90.14,78.17,7,17,412
126664,Lucas Digne,Defender,Left-Back,France,29,Everton FC,GB1,premier-league,England,2020,2020-21,27,30,2682,0,7,7,0,0.235,0.235,38,1.55,78.42,0.948717949,0.641025641,94.87,64.1,79.49,7,17,360
194549,Simy,Attack,Centre-Forward,Nigeria,4083,FC Crotone,IT1,serie-a,Italy,2020,2020-21,29,38,2943,20,3,23,0.612,0.092,0.703,38,0.61,86.05,0.7,0.933333333,70,93.33,81.67,3,17,285
59016,David Alaba,Defender,Centre-Back,Austria,27,Bayern Munich,L1,bundesliga,Germany,2020,2020-21,29,32,2676,2,4,6,0.067,0.135,0.202,34,2.29,87.45,0.843137255,0.647058824,84.31,64.71,74.51,5,18,580
37647,Dimitri Payet,Midfield,Attacking Midfield,France,244,Olympique Marseille,FR1,ligue-1,France,2020,2020-21,34,33,2428,7,10,17,0.259,0.371,0.63,38,1.58,70.99,0.98245614,0.543859649,98.25,54.39,76.32,6,18,488
181136,Piotr Zielinski,Midfield,Central Midfield,Poland,6195,SSC Napoli,IT1,serie-a,Italy,2020,2020-21,27,36,2548,8,11,19,0.283,0.389,0.671,38,2.03,74.5,0.96969697,0.651515152,96.97,65.15,81.06,8,18,305
66106,Sergio Canales,Midfield,Attacking Midfield,Spain,150,Real Betis Balompié,ES1,laliga,Spain,2020,2020-21,30,31,2503,8,6,14,0.288,0.216,0.503,38,1.61,73.19,1,0.545454545,100,54.55,77.27,6,18,450
249565,Youri Tielemans,Midfield,Central Midfield,Belgium,1003,Leicester City,GB1,premier-league,England,2020,2020-21,24,38,3358,6,4,10,0.161,0.107,0.268,38,1.74,98.19,0.660714286,0.928571429,66.07,92.86,79.46,5,18,363
256448,Gianluca Mancini,Defender,Centre-Back,Italy,12,Associazione Sportiva Roma,IT1,serie-a,Italy,2020,2020-21,25,33,2854,4,2,6,0.126,0.063,0.189,38,1.63,83.45,0.779411765,0.823529412,77.94,82.35,80.15,8,19,340
119905,Hugo Mallo,Defender,Right-Back,Spain,940,Celta de Vigo,ES1,laliga,Spain,2020,2020-21,30,31,2603,3,2,5,0.104,0.069,0.173,38,1.39,76.11,0.901408451,0.61971831,90.14,61.97,76.06,8,19,504
39728,Mats Hummels,Defender,Centre-Back,Germany,16,Borussia Dortmund,L1,bundesliga,Germany,2020,2020-21,32,33,2816,5,0,5,0.16,0,0.16,34,1.88,92.03,0.666666667,0.823529412,66.67,82.35,74.51,6,19,581
253677,Tyrone Mings,Defender,Centre-Back,England,405,Aston Villa,GB1,premier-league,England,2020,2020-21,28,36,3195,2,2,4,0.056,0.056,0.113,38,1.45,93.42,0.679487179,0.897435897,67.95,89.74,78.85,8,19,387
260166,Ui-jo Hwang,Midfield,Attacking Midfield,"Korea, South",40,FC Girondins Bordeaux,FR1,ligue-1,France,2020,2020-21,28,36,2523,12,3,15,0.428,0.107,0.535,38,1.18,73.77,0.929824561,0.596491228,92.98,59.65,76.32,7,19,489
293385,Dani Olmo,Midfield,Attacking Midfield,Spain,23826,RB Leipzig,L1,bundesliga,Germany,2020,2020-21,23,32,2204,5,10,15,0.204,0.408,0.613,34,1.91,72.03,0.886363636,0.590909091,88.64,59.09,73.86,8,20,597
